bjd_code,altitude_m,altitude_source
1135010300,31,region_point
1135010400,31,region_point
1135010500,31,region_point
1135010600,31,region_point
1138010100,21,emd_point
1138010200,55,emd_point
1138010300,41,region_point
1138010400,41,region_point
1138010500,30,emd_point
1138010600,35,emd_point
1138010700,41,region_point
1138010800,27,emd_point
1138010900,41,region_point
1138011000,19,emd_point
1138011400,49,emd_point
1141010100,92,region_point
1141010200,92,region_point
1141010300,92,region_point
1141010400,92,region_point
1141010500,92,region_point
1141010600,56,emd_point
1141010700,92,region_point
1141010800,92,region_point
1141010900,92,region_point
1141011000,43,emd_point
1141011100,92,region_point
1141011200,92,region_point
1141011300,92,region_point
1141011400,59,emd_point
1141011500,92,region_point
1141011600,92,region_point
1141011700,71,emd_point
1141011800,92,region_point
1141011900,92,region_point
1141012000,92,region_point
1144010100,26,emd_point
1144010200,68,emd_point
1144010300,31,region_point
1144010400,37,emd_point
1144010500,16,emd_point
1144010600,31,region_point
1144010700,31,region_point
1144010800,47,emd_point
1144010900,7,emd_point
1144011000,31,region_point
1144011100,14,emd_point
1144011200,31,region_point
1144011300,31,region_point
1144011400,31,region_point
1144011500,31,region_point
1144011600,31,region_point
1144011700,31,region_point
1144011800,31,region_point
1144012000,23,emd_point
1144012100,31,region_point
1144012200,18,emd_point
1144012300,31,region_point
1144012400,19,emd_point
1144012500,31,region_point
1144012600,31,region_point
1144012700,20,emd_point
1147010100,17,region_point
1147010200,17,region_point
1147010300,17,region_point
1150010100,25,emd_point
1150010200,33,region_point
1150010300,33,region_point
1150010400,33,region_point
1150010500,33,region_point
1150010600,33,region_point
1150010700,33,region_point
1150010800,12,emd_point
1150010900,33,region_point
1150011000,33,region_point
1150011100,33,region_point
1150011200,33,region_point
1150011300,33,region_point
1153010100,19,emd_point
1153010200,18,region_point
1153010300,20,emd_point
1153010600,18,region_point
1153010700,18,region_point
1153010800,18,region_point
1153010900,18,region_point
1153011000,18,region_point
1153011100,18,region_point
1153011200,38,emd_point
1154510100,25,emd_point
1154510200,31,region_point
1154510300,31,region_point
1156010100,15,emd_point
1156010200,17,region_point
1156010300,17,region_point
1156010400,17,region_point
1156010500,17,region_point
1156010600,17,region_point
1156010700,17,region_point
1156010800,17,region_point
1156010900,17,region_point
1156011000,17,region_point
1156011100,17,region_point
1156011200,17,region_point
1156011300,17,region_point
1156011400,17,region_point
1156011500,17,region_point
1156011600,17,region_point
1156011700,17,region_point
1156011800,15,emd_point
1156011900,17,region_point
1156012000,17,region_point
1156012100,17,region_point
1156012200,17,region_point
1156012300,17,region_point
1156012400,17,region_point
1156012500,17,region_point
1156012600,17,region_point
1156012700,17,region_point
1156012800,17,region_point
1156012900,17,region_point
1156013000,17,region_point
1156013100,17,region_point
1156013200,17,region_point
1156013300,17,region_point
1156013400,17,region_point
1159010100,28,region_point
1159010200,28,region_point
1159010300,28,region_point
1159010400,28,region_point
1159010500,19,emd_point
1159010600,28,region_point
1159010700,28,region_point
1159010800,58,emd_point
1159010900,28,region_point
1162010100,71,region_point
1162010200,28,emd_point
1162010300,73,emd_point
1165010100,65,region_point
1165010200,65,region_point
1165010300,65,region_point
1165010400,65,region_point
1165010600,20,emd_point
1165010700,65,region_point
1165010800,65,region_point
1165010900,74,emd_point
1165011000,65,region_point
1165011100,65,region_point
1168010100,48,region_point
1168010300,48,region_point
1168010400,29,emd_point
1168010500,48,region_point
1168010600,48,region_point
1168010700,24,emd_point
1168010800,48,region_point
1168011000,28,emd_point
1168011100,35,emd_point
1168011200,48,region_point
1168011300,48,region_point
1168011400,48,region_point
1168011500,19,emd_point
1168011800,48,region_point
1171010100,17,region_point
1171010200,17,region_point
1171010300,17,region_point
1171010400,17,region_point
1171010500,21,emd_point
1171010600,19,emd_point
1171010700,17,region_point
1171010800,17,region_point
1171010900,46,emd_point
1171011100,17,region_point
1171011200,48,emd_point
1171011300,17,region_point
1171011400,17,region_point
1174010100,19,region_point
1174010200,19,region_point
1174010300,19,region_point
1174010500,31,emd_point
1174010600,19,region_point
1174010700,19,region_point
1174010800,19,region_point
1174010900,19,region_point
1174011000,26,emd_point
1211010100,5,region_point
1211010200,5,emd_point
1211010300,8,emd_point
1211010400,6,emd_point
1211010500,5,region_point
1211010600,5,region_point
1211010700,5,region_point
1211010800,5,region_point
1211010900,5,region_point
1211011000,5,region_point
1211011100,5,region_point
1211011200,5,region_point
1211011300,5,region_point
1211011400,5,region_point
1211011500,5,region_point
1211011600,5,region_point
1211011700,5,region_point
1211011800,7,emd_point
1211011900,5,region_point
1211012000,5,region_point
1211012100,5,region_point
1211012200,5,region_point
1211012300,5,region_point
1211012400,5,region_point
1211012500,5,region_point
1211012600,5,region_point
1211012700,5,region_point
1211012800,5,region_point
1211012900,5,region_point
1211013000,5,region_point
1211013100,5,region_point
1211013200,6,emd_point
1211013300,5,region_point
1211013400,5,region_point
1211013500,5,region_point
1211013600,5,region_point
1211013700,5,region_point
1211013800,5,region_point
1211013900,0,emd_point
1211014000,5,region_point
1211014100,5,region_point
1211014200,5,region_point
1211014300,5,region_point
1211014400,5,region_point
1211014500,5,region_point
1211014600,5,region_point
1211014700,5,region_point
1211014800,5,region_point
1211014900,5,region_point
1211015000,5,region_point
1211015100,5,region_point
1211015200,5,region_point
1211015300,5,region_point
1211015400,5,region_point
1211015500,5,region_point
1211015600,5,region_point
1211015700,23,emd_point
1211015800,9,emd_point
1211015900,27,emd_point
1211016000,5,region_point
1211016100,5,region_point
1211016200,5,region_point
1211016300,5,region_point
1211016400,7,emd_point
1213010100,9,region_point
1213010200,9,region_point
1213010300,9,region_point
1213010400,9,region_point
1213010500,9,region_point
1213010600,9,region_point
1213010700,0,emd_point
1213010800,9,region_point
1213010900,9,region_point
1213011000,57,emd_point
1213011100,9,region_point
1213011200,9,region_point
1213011300,9,region_point
1213011400,9,region_point
1213011500,9,region_point
1213011600,9,region_point
1213011700,5,emd_point
1213011800,9,region_point
1213011900,135,emd_point
1213012000,77,emd_point
1213012100,9,region_point
1213012200,57,emd_point
1213012300,89,emd_point
1213012400,9,region_point
1213012500,9,region_point
1213012600,9,region_point
1213012700,9,region_point
1213012800,9,region_point
1213012900,9,region_point
1213013000,9,region_point
1213013100,9,region_point
1213013200,37,emd_point
1213013300,9,region_point
1213013400,9,region_point
1213013500,9,region_point
1213013600,32,emd_point
1213013700,9,region_point
1213013800,48,emd_point
1213013900,9,region_point
1213014000,9,region_point
1213014100,9,region_point
1213014200,9,region_point
1213014300,9,region_point
1213014400,9,region_point
1213014500,9,region_point
1213014600,9,region_point
1213014700,3,emd_point
1213014800,9,region_point
1213014900,9,region_point
1213015000,9,region_point
1213015100,9,region_point
1213025000,10,emd_point
1213025021,10,emd_point
1213025022,10,emd_point
1213025023,10,emd_point
1213025024,10,emd_point
1213025025,10,emd_point
1213025026,10,emd_point
1213025027,10,emd_point
1213025028,10,emd_point
1213025029,10,emd_point
1213025030,10,emd_point
1213031000,21,emd_point
1213031021,21,emd_point
1213031022,21,emd_point
1213031023,21,emd_point
1213031024,21,emd_point
1213031025,21,emd_point
1213031026,21,emd_point
1213031027,21,emd_point
1213031028,21,emd_point
1213032000,4,emd_point
1213032021,4,emd_point
1213032022,4,emd_point
1213032023,4,emd_point
1213032024,4,emd_point
1213032025,4,emd_point
1213032026,4,emd_point
1213032027,4,emd_point
1213032028,4,emd_point
1213032029,4,emd_point
1213032030,4,emd_point
1213033000,14,emd_point
1213033021,14,emd_point
1213033022,14,emd_point
1213033023,14,emd_point
1213033024,14,emd_point
1213033025,14,emd_point
1213033026,14,emd_point
1213033027,14,emd_point
1213033028,14,emd_point
1213033029,14,emd_point
1213033030,14,emd_point
1213034000,34,emd_point
1213034021,34,emd_point
1213034022,34,emd_point
1213034023,34,emd_point
1213034024,34,emd_point
1213034025,34,emd_point
1213034026,34,emd_point
1213034027,34,emd_point
1213034028,34,emd_point
1213034029,34,emd_point
1213035000,21,emd_point
1213035021,21,emd_point
1213035022,21,emd_point
1213035023,21,emd_point
1213035024,21,emd_point
1213035025,21,emd_point
1213035026,21,emd_point
1213035027,21,emd_point
1213035028,21,emd_point
1213035029,21,emd_point
1213035030,21,emd_point
1213036000,0,emd_point
1213036021,0,emd_point
1213036022,0,emd_point
1213036023,0,emd_point
1213036024,0,emd_point
1213036025,0,emd_point
1213036026,0,emd_point
1215010100,16,region_point
1215010200,16,region_point
1215010300,16,region_point
1215010400,16,region_point
1215010500,16,region_point
1215010600,16,region_point
1215010700,22,emd_point
1215010800,16,region_point
1215010900,16,region_point
1215011000,16,region_point
1215011100,11,emd_point
1215011200,16,region_point
1215011300,16,region_point
1215011400,16,region_point
1215011500,8,emd_point
1215011600,16,region_point
1215011700,16,region_point
1215011800,18,emd_point
1215011900,15,emd_point
1215012000,16,region_point
1215012100,15,emd_point
1215012200,16,region_point
1215012300,16,region_point
1215012400,16,region_point
1215012500,16,region_point
1215012600,16,region_point
1215012700,16,region_point
1215012800,16,region_point
1215012900,16,region_point
1215013000,16,region_point
1215013100,16,region_point
1215013200,16,region_point
1215013300,16,region_point
1215025000,121,emd_point
1215025021,121,emd_point
1215025022,121,emd_point
1215025023,121,emd_point
1215025024,121,emd_point
1215025025,121,emd_point
1215025026,121,emd_point
1215025027,121,emd_point
1215025028,121,emd_point
1215025029,121,emd_point
1215025030,121,emd_point
1215025031,121,emd_point
1215025032,121,emd_point
1215025033,121,emd_point
1215025034,121,emd_point
1215031000,58,emd_point
1215031021,58,emd_point
1215031022,58,emd_point
1215031023,58,emd_point
1215031024,58,emd_point
1215031025,58,emd_point
1215031026,58,emd_point
1215031027,58,emd_point
1215031028,58,emd_point
1215031029,58,emd_point
1215031030,58,emd_point
1215031031,58,emd_point
1215031032,58,emd_point
1215031033,58,emd_point
1215031034,58,emd_point
1215031035,58,emd_point
1215031036,58,emd_point
1215031037,58,emd_point
1215031038,58,emd_point
1215032000,84,emd_point
1215032021,84,emd_point
1215032022,84,emd_point
1215032023,84,emd_point
1215032024,84,emd_point
1215032025,84,emd_point
1215032026,84,emd_point
1215032027,84,emd_point
