point_code,name,lat,lon,altitude,nx,ny,region_id,distance_km,network
350,조침령,37.99534,128.49556,607,86,137,241,11.2,kma_aws
376,광명노온,37.44738,126.85895,68,58,124,17,5.0,kma_aws
377,안양만안,37.39523,126.89194,28,58,123,108,5.0,kma_aws
378,정림,36.30361,127.36278,71,67,99,91,5.0,kma_aws
379,번암,35.54046,127.5463,292,70,83,252,10.0,kma_aws
400,강남,37.4982,127.08162,12,62,125,5,5.0,kma_aws
401,서초,37.48462,127.02601,33,61,125,22,0.0,kma_aws
402,강동,37.55556,127.14498,55,63,127,122,5.0,kma_aws
403,송파,37.47426,127.12538,54,62,125,5,5.0,kma_aws
404,강서,37.5739,126.82953,9,57,127,112,5.0,kma_aws
405,양천,37.52823,126.87937,22,58,126,15,0.0,kma_aws
406,도봉,37.66557,127.03042,56,61,129,10,0.0,kma_aws
407,노원,37.62186,127.09192,25,62,128,7,0.0,kma_aws
408,동대문,37.58463,127.06036,54,61,127,4,0.0,kma_aws
409,중랑,37.58551,127.08682,39,62,127,122,0.0,kma_aws
410,기상청,37.4933,126.91746,41,59,125,20,0.0,kma_aws
411,마포,37.55165,126.92915,100,59,126,3,5.0,kma_aws
412,서대문,37.57047,126.94078,103,59,127,12,0.0,kma_aws
413,광진,37.53344,127.08601,29,62,126,5,0.0,kma_aws
414,성북,37.61134,126.99981,128,60,128,1,5.0,kma_aws
415,용산,37.51955,126.97629,31,60,126,3,0.0,kma_aws
416,은평,37.64647,126.94273,55,59,128,12,5.0,kma_aws
417,금천,37.46551,126.90016,45,58,125,17,0.0,kma_aws
418,한강,37.52489,126.93904,10,59,126,3,5.0,kma_aws
419,중구,37.55236,126.98736,267,60,126,3,0.0,kma_aws
421,성동,37.54721,127.03885,34,61,126,23,0.0,kma_aws
423,구로,37.49328,126.82629,56,57,125,110,0.0,kma_aws
424,강북,37.63801,127.00981,69,60,128,1,5.0,kma_aws
425,남현,37.46347,126.98154,113,60,124,121,0.0,kma_aws
426,백령(레),37.96611,124.63048,147,20,135,,157.0,kma_aws
427,양촌,37.66877,126.64721,9,54,129,135,7.1,kma_aws
428,하남덕풍,37.55124,127.21278,23,64,126,128,0.0,kma_aws
493,송악,36.73615,127.00805,35,61,109,165,7.1,kma_aws
494,세종고운,36.53083,127.24028,106,65,104,99,7.1,kma_aws
495,공도,36.98062,127.16254,13,63,114,114,5.0,kma_aws
496,세종금남,36.45853,127.26876,27,65,103,99,5.0,kma_aws
497,삽당령,37.57516,128.85147,660,92,128,226,15.0,kma_aws
498,구룡령,37.87925,128.51447,1018,86,134,241,22.4,kma_aws
499,중면,38.13608,127.02354,53,60,139,144,7.1,kma_aws
500,양도,37.66571,126.47015,48,51,129,87,5.0,kma_aws
501,대연평,37.65891,125.69819,7,38,129,,65.2,kma_aws
502,교동,37.78944,126.29164,13,48,131,87,15.8,kma_aws
503,도라산,37.90804,126.71193,18,55,134,132,15.8,kma_aws
504,포천,37.87035,127.18073,105,63,133,142,7.1,kma_aws
505,가평조종,37.82439,127.34543,170,66,132,142,14.1,kma_aws
506,파주금촌,37.74823,126.77693,12,56,131,132,0.0,kma_aws
507,창수,38.02479,127.14358,76,63,137,144,11.2,kma_aws
508,왕산,37.46649,126.36093,140,49,124,79,20.6,kma_aws
509,관악,37.45284,126.95015,141,59,124,18,0.0,kma_aws
510,영등포,37.52706,126.90705,25,59,126,3,5.0,kma_aws
511,경서동,37.5675,126.6351,7,54,127,86,5.0,kma_aws
512,인천연수,37.39684,126.66209,8,54,123,80,5.0,kma_aws
513,덕적지도,37.06551,126.01427,29,43,116,,43.0,kma_aws
514,대부도,37.23767,126.5787,10,53,120,81,18.0,kma_aws
515,운평,37.08453,126.77389,10,56,116,136,15.8,kma_aws
516,안성,37.00371,127.25017,23,65,115,134,0.0,kma_aws
517,간성,38.3851,128.47523,6,85,145,240,0.0,kma_aws
518,해안,38.26958,128.1211,468,79,142,238,18.0,kma_aws
519,사내,38.07545,127.51941,298,69,138,237,15.8,kma_aws
520,설악동,38.16705,128.51818,135,86,140,229,7.1,kma_aws
522,화촌,37.78712,127.9838,197,77,132,231,14.1,kma_aws
523,주문진,37.89848,128.82139,8,91,135,226,20.6,kma_aws
524,경포,37.78626,128.89382,4,93,132,226,7.1,kma_aws
525,봉평,37.62109,128.35893,568,84,128,234,25.0,kma_aws
526,평창,37.37748,128.39469,303,84,123,234,0.0,kma_aws
527,신동,37.21108,128.64126,392,89,120,235,15.0,kma_aws
529,원덕,37.14156,129.28585,36,100,119,198,22.4,kma_aws
530,태하,37.5151,130.8118,178,126,128,199,7.1,kma_aws
531,가평북면,37.89807,127.55219,109,70,134,145,7.1,kma_aws
532,의정부,37.73476,127.07349,89,61,130,107,0.0,kma_aws
533,백사,37.32779,127.48079,83,69,122,133,7.1,kma_aws
534,장호원,37.121,127.61058,88,71,117,143,20.0,kma_aws
535,서석,37.71701,128.18265,313,80,130,231,25.0,kma_aws
536,횡성,37.4876,127.97242,114,77,125,232,0.0,kma_aws
537,임계,37.48323,128.84589,488,92,126,235,21.2,kma_aws
538,신서,38.17254,127.10301,83,62,140,144,11.2,kma_aws
539,포천이동,38.02405,127.36815,145,66,137,236,11.2,kma_aws
540,고양,37.6373,126.892,44,58,128,118,5.0,kma_aws
541,남양주,37.63405,127.15055,25,63,128,7,5.0,kma_aws
542,청평,37.68414,127.38017,42,67,129,123,15.8,kma_aws
543,영종도,37.499,126.54958,25,52,125,79,5.0,kma_aws
544,전곡항,37.18565,126.6544,11,54,118,117,21.2,kma_aws
545,안산,37.28103,126.83848,5,57,120,117,5.0,kma_aws
546,경기광주,37.43529,127.2592,122,65,124,140,5.0,kma_aws
547,양동,37.41593,127.75488,108,73,124,143,18.0,kma_aws
548,여주,37.26883,127.63956,118,71,120,143,5.0,kma_aws
