id,name,sido,bjd_code
183,영주시,경상북도,4721000000
184,영천시,경상북도,4723000000
185,상주시,경상북도,4725000000
186,문경시,경상북도,4728000000
187,경산시,경상북도,4729000000
188,의성군,경상북도,4773000000
189,청송군,경상북도,4775000000
190,영양군,경상북도,4776000000
191,영덕군,경상북도,4777000000
192,청도군,경상북도,4782000000
193,고령군,경상북도,4783000000
194,성주군,경상북도,4784000000
195,칠곡군,경상북도,4785000000
196,예천군,경상북도,4790000000
197,봉화군,경상북도,4792000000
198,울진군,경상북도,4793000000
199,울릉군,경상북도,4794000000
200,창원시의창구,경상남도,4812100000
201,창원시성산구,경상남도,4812300000
202,창원시마산합포구,경상남도,4812500000
203,창원시마산회원구,경상남도,4812700000
204,창원시진해구,경상남도,4812900000
205,진주시,경상남도,4817000000
206,통영시,경상남도,4822000000
207,사천시,경상남도,4824000000
208,김해시,경상남도,4825000000
209,밀양시,경상남도,4827000000
210,거제시,경상남도,4831000000
211,양산시,경상남도,4833000000
212,의령군,경상남도,4872000000
213,함안군,경상남도,4873000000
214,창녕군,경상남도,4874000000
215,고성군,경상남도,4882000000
216,남해군,경상남도,4884000000
217,하동군,경상남도,4885000000
218,산청군,경상남도,4886000000
219,함양군,경상남도,4887000000
220,거창군,경상남도,4888000000
221,합천군,경상남도,4889000000
222,제주시,제주특별자치도,5011000000
223,서귀포시,제주특별자치도,5013000000
224,춘천시,강원특별자치도,5111000000
225,원주시,강원특별자치도,5113000000
226,강릉시,강원특별자치도,5115000000
227,동해시,강원특별자치도,5117000000
228,태백시,강원특별자치도,5119000000
229,속초시,강원특별자치도,5121000000
230,삼척시,강원특별자치도,5123000000
231,홍천군,강원특별자치도,5172000000
232,횡성군,강원특별자치도,5173000000
233,영월군,강원특별자치도,5175000000
234,평창군,강원특별자치도,5176000000
235,정선군,강원특별자치도,5177000000
236,철원군,강원특별자치도,5178000000
237,화천군,강원특별자치도,5179000000
238,양구군,강원특별자치도,5180000000
239,인제군,강원특별자치도,5181000000
240,고성군,강원특별자치도,5182000000
241,양양군,강원특별자치도,5183000000
242,전주시완산구,전북특별자치도,5211100000
243,전주시덕진구,전북특별자치도,5211300000
244,군산시,전북특별자치도,5213000000
245,익산시,전북특별자치도,5214000000
246,정읍시,전북특별자치도,5218000000
247,남원시,전북특별자치도,5219000000
248,김제시,전북특별자치도,5221000000
249,완주군,전북특별자치도,5271000000
250,진안군,전북특별자치도,5272000000
251,무주군,전북특별자치도,5273000000
252,장수군,전북특별자치도,5274000000
253,임실군,전북특별자치도,5275000000
254,순창군,전북특별자치도,5277000000
255,고창군,전북특별자치도,5279000000
256,부안군,전북특별자치도,5280000000
