region_code,region_name,clmt_zone_code,annual_mean_temp,temp_seasonality,annual_precip,weather_months,valid_temp_months,growing_temp,score_09001_temp,score_09001_total,score_09011_temp,score_09011_total,score_07001_temp,score_07001_total,score_03001_temp,score_03001_total,score_04009_temp,score_04009_total,env_cluster,env_anomaly_dist,env_anomaly_flag
4884031000,경상남도 남해군 이동면,16,15.608333333333334,9.657353141361751,1698.5,12,12,23.03333333333333,0.0,0.0,88.1,88.1,92.6,92.6,100.0,100.0,93.3,93.3,0.0,1.406,False
4313012200,충청북도 충주시 안림동,8,12.125,10.758516710875242,1207.0,12,12,20.683333333333334,57.4,57.4,100.0,100.0,90.0,90.0,94.4,94.4,91.4,91.4,1.0,0.532,False
4165034000,경기도 포천시 신북면,6,12.575000000000001,11.069542570823454,1582.0,12,12,21.383333333333336,27.1,27.1,100.0,100.0,90.3,90.3,100.0,100.0,92.0,92.0,1.0,0.939,False
4471031000,충청남도 금산군 금성면,4,12.65,10.958558299338467,1125.5,12,12,21.349999999999998,25.1,25.1,100.0,100.0,90.5,90.5,100.0,100.0,92.0,92.0,1.0,0.456,False
4773025000,경상북도 의성군 의성읍,11,12.200000000000001,11.004874952823076,979.5,12,12,20.966666666666665,39.4,39.4,100.0,100.0,90.2,90.2,94.7,94.7,91.7,91.7,1.0,0.854,False
1217037000,전남광주통합특별시 나주시 문평면,10,13.383333333333333,10.006164766449396,2861.7,12,12,21.083333333333332,27.1,27.1,100.0,100.0,90.7,90.7,94.7,94.7,91.8,91.8,3.0,0.596,False
5271000000,전북특별자치도 완주군,14,14.408333333333333,10.551471963951789,1450.0,12,12,22.650000000000002,1.7,1.7,94.4,94.4,91.8,91.8,100.0,100.0,93.0,93.0,0.0,1.12,False
4777037000,경상북도 영덕군 병곡면,18,14.775,9.677163840712835,932.0,12,12,22.3,6.4,6.4,100.0,100.0,91.4,91.4,100.0,100.0,92.7,92.7,0.0,1.167,False
1272031000,전남광주통합특별시 곡성군 오곡면,9,,,,12,0,,,,,,,,,,,,,,
1217034000,전남광주통합특별시 나주시 공산면,15,14.049999999999999,10.08892281843625,2365.2999999999997,12,12,21.816666666666666,11.5,11.5,100.0,100.0,91.3,91.3,100.0,100.0,92.4,92.4,3.0,1.776,True
3171031000,울산광역시 울주군 서생면,19,14.674999999999999,8.891070597157373,830.0,12,12,21.400000000000002,17.6,17.6,100.0,100.0,91.4,91.4,100.0,100.0,92.0,92.0,0.0,2.277,True
4782034000,경상북도 청도군 이서면,12,13.424999999999999,10.529795387807443,1446.5,12,12,21.766666666666666,15.3,15.3,100.0,100.0,91.0,91.0,100.0,100.0,92.3,92.3,1.0,0.999,False
4717032000,경상북도 안동시 북후면,5,12.391666666666666,11.126173754900757,872.0,12,12,21.25,28.9,28.9,100.0,100.0,90.3,90.3,100.0,100.0,91.9,91.9,1.0,1.144,False
5011025000,제주특별자치도 제주시 한림읍,20,,,,12,0,,,,,,,,,,,,,,
4128000000,경기도 고양시,13,12.383333333333333,11.272156632673056,1130.5,12,12,21.3,28.9,28.9,100.0,100.0,90.2,90.2,93.9,93.9,91.9,91.9,1.0,0.842,False
5177035000,강원특별자치도 정선군 임계면,2,9.891666666666667,10.502593474802769,943.0,12,12,18.3,100.0,100.0,63.3,63.3,86.9,86.9,40.3,40.3,89.2,89.2,2.0,0.869,False
4146100000,경기도 용인시 처인구,7,13.366666666666667,10.70083542476375,1416.0,12,12,21.833333333333332,14.8,14.8,100.0,100.0,90.9,90.9,100.0,100.0,92.4,92.4,1.0,0.871,False
4824012600,경상남도 사천시 송포동,16,14.791666666666666,9.683862709151601,1178.5,12,12,22.21666666666667,4.8,4.8,100.0,100.0,92.0,92.0,100.0,100.0,92.7,92.7,0.0,0.62,False
4377031000,충청북도 음성군 소이면,8,11.933333333333332,10.6703781421733,1226.0,12,12,20.416666666666668,76.5,76.5,100.0,100.0,89.8,89.8,93.2,93.2,91.2,91.2,1.0,0.799,False
5178025900,강원특별자치도 철원군 동송읍,6,12.533333333333333,11.726607921020184,1633.5,12,12,21.833333333333332,15.0,15.0,100.0,100.0,90.8,90.8,100.0,100.0,92.4,92.4,1.0,1.86,True
5274000000,전북특별자치도 장수군,4,11.525,10.135547256158308,1740.0,12,12,19.466666666666665,100.0,100.0,94.4,94.4,89.2,89.2,87.4,87.4,90.3,90.3,1.0,2.291,True
4729033000,경상북도 경산시 자인면,11,14.625,10.787376882263825,1154.5,12,12,23.233333333333334,0.0,0.0,89.4,89.4,92.1,92.1,100.0,100.0,93.5,93.5,0.0,1.721,False
1215035000,전남광주통합특별시 순천시 주암면,10,13.591666666666667,10.18380696215439,1525.5,12,12,21.566666666666666,16.7,16.7,100.0,100.0,91.1,91.1,100.0,100.0,92.2,92.2,0.0,1.028,False
5213036000,전북특별자치도 군산시 개정면,14,14.0,10.306573365840586,1468.0,12,12,21.933333333333334,10.2,10.2,100.0,100.0,91.3,91.3,100.0,100.0,92.5,92.5,0.0,0.813,False
4793040000,경상북도 울진군 매화면,18,14.275,9.813823738158149,1210.0,12,12,22.016666666666666,11.8,11.8,100.0,100.0,91.0,91.0,100.0,100.0,92.5,92.5,0.0,0.468,False
4784000000,경상북도 성주군,9,13.075000000000001,10.49087265630982,1305.0,12,12,21.416666666666668,22.4,22.4,100.0,100.0,90.7,90.7,100.0,100.0,92.0,92.0,1.0,0.668,False
1281034000,전남광주통합특별시 무안군 현경면,15,,,,12,0,,,,,,,,,,,,,,
3171026200,울산광역시 울주군 청량읍,19,14.225,9.976347026843042,1152.0,12,12,22.0,9.7,9.7,100.0,100.0,91.4,91.4,100.0,100.0,92.5,92.5,0.0,0.581,False
4827034000,경상남도 밀양시 산내면,12,13.775,9.737941260862073,1284.5,12,12,21.400000000000002,20.7,20.7,100.0,100.0,91.1,91.1,100.0,100.0,92.0,92.0,0.0,0.912,False
4776000000,경상북도 영양군,5,11.841666666666667,10.721131074432003,968.0,12,12,20.333333333333332,80.5,80.5,100.0,100.0,89.5,89.5,90.3,90.3,91.1,91.1,1.0,1.152,False
5011025900,제주특별자치도 제주시 조천읍,20,,,,12,0,,,,,,,,,,,,,,
4111000000,경기도 수원시,13,13.916666666666666,10.704530335188446,1085.0,12,12,22.3,6.8,6.8,100.0,100.0,91.3,91.3,100.0,100.0,92.7,92.7,1.0,1.376,False
5119010100,강원특별자치도 태백시 황지동,2,9.616666666666667,10.4309707848863,1037.0,12,12,17.96666666666667,100.0,100.0,38.5,38.5,86.5,86.5,34.4,34.4,88.9,88.9,2.0,0.76,False
4161010600,경기도 광주시 목현동,7,12.350000000000001,11.020435563080072,1460.0,12,12,21.083333333333332,36.2,36.2,100.0,100.0,90.0,90.0,100.0,100.0,91.8,91.8,1.0,0.63,False
4825011500,경상남도 김해시 전하동,16,15.058333333333332,9.751872392085284,989.0,12,12,22.599999999999998,0.7,0.7,93.5,93.5,92.3,92.3,100.0,100.0,93.0,93.0,0.0,1.081,False
4313011400,충청북도 충주시 달천동,8,12.858333333333334,11.013583211267582,843.0,12,12,21.599999999999998,19.4,19.4,100.0,100.0,90.7,90.7,100.0,100.0,92.2,92.2,1.0,1.205,False
5111025000,강원특별자치도 춘천시 신북읍,6,12.033333333333333,11.733118110973768,1407.0,12,12,21.366666666666664,27.5,27.5,100.0,100.0,90.1,90.1,100.0,100.0,92.0,92.0,1.0,1.601,False
5273025000,전북특별자치도 무주군 무주읍,4,13.033333333333333,10.646496080301668,1265.0,12,12,21.516666666666666,21.1,21.1,100.0,100.0,90.8,90.8,100.0,100.0,92.1,92.1,1.0,0.5,False
4719025000,경상북도 구미시 선산읍,11,13.458333333333334,10.554400920368659,914.5,12,12,21.883333333333336,13.7,13.7,100.0,100.0,91.0,91.0,100.0,100.0,92.4,92.4,1.0,1.299,False
1284025000,전남광주통합특별시 장성군 장성읍,10,13.758333333333333,10.25816378512374,1775.0,12,12,21.733333333333334,13.5,13.5,100.0,100.0,91.2,91.2,100.0,100.0,92.3,92.3,0.0,1.39,False
5221036000,전북특별자치도 김제시 부량면,14,13.658333333333333,10.55293654377632,1481.5,12,12,21.78333333333333,12.7,12.7,100.0,100.0,91.0,91.0,100.0,100.0,92.3,92.3,1.0,1.122,False
4888000000,경상남도 거창군,9,13.0,10.328337013021287,1234.0,12,12,21.183333333333334,28.4,28.4,100.0,100.0,90.6,90.6,100.0,100.0,91.8,91.8,1.0,0.853,False
1287025300,전남광주통합특별시 신안군 압해읍,15,,,,12,0,,,,,,,,,,,,,,
4827036000,경상남도 밀양시 상남면,12,14.625,10.221112286030143,1128.0,12,12,22.633333333333336,1.4,1.4,94.1,94.1,92.1,92.1,100.0,100.0,93.0,93.0,0.0,0.824,False
4776025000,경상북도 영양군 영양읍,5,12.0,10.807573102396132,972.5,12,12,20.516666666666666,70.0,70.0,100.0,100.0,89.7,89.7,91.0,91.0,91.3,91.3,1.0,1.004,False
5011025300,제주특별자치도 제주시 애월읍,20,,,,12,0,,,,,,,,,,,,,,
4180036000,경기도 연천군 신서면,13,11.341666666666667,11.793793308603497,1205.0,12,12,20.666666666666668,67.8,67.8,100.0,100.0,89.4,89.4,89.2,89.2,91.4,91.4,1.0,1.855,True
5177025900,강원특별자치도 정선군 신동읍,2,11.700000000000001,10.918291574650812,1038.5,12,12,20.366666666666667,80.5,80.5,100.0,100.0,89.4,89.4,90.8,90.8,91.1,91.1,1.0,1.07,False
5173036000,강원특별자치도 횡성군 공근면,7,11.891666666666666,11.258811364142012,1314.5,12,12,20.816666666666666,48.3,48.3,100.0,100.0,89.9,89.9,94.0,94.0,91.5,91.5,1.0,0.914,False
4882025000,경상남도 고성군 고성읍,16,14.275,9.687679617103178,1372.6,12,12,21.666666666666668,12.2,12.2,100.0,100.0,91.6,91.6,100.0,100.0,92.2,92.2,0.0,0.632,False
5179025000,강원특별자치도 화천군 화천읍,6,11.091666666666667,11.53527856252945,1483.5,12,12,20.316666666666666,83.7,83.7,100.0,100.0,89.3,89.3,89.6,89.6,91.1,91.1,1.0,1.781,True
5271036000,전북특별자치도 완주군 고산면,4,13.466666666666667,10.65597001542783,1453.0,12,12,21.8,13.2,13.2,100.0,100.0,91.1,91.1,100.0,100.0,92.3,92.3,1.0,0.958,False
4719032000,경상북도 구미시 옥성면,11,13.65,10.508740950448649,1033.0,12,12,22.03333333333333,11.3,11.3,100.0,100.0,91.2,91.2,100.0,100.0,92.5,92.5,1.0,1.273,False
1217040000,전남광주통합특별시 나주시 산포면,10,14.174999999999999,10.616892628773689,1700.0,12,12,22.416666666666668,3.7,3.7,100.0,100.0,91.7,91.7,100.0,100.0,92.8,92.8,0.0,1.481,False
4476031000,충청남도 부여군 규암면,14,13.833333333333334,10.586641096068652,1708.0,12,12,22.116666666666664,8.9,8.9,100.0,100.0,91.2,91.2,100.0,100.0,92.6,92.6,0.0,1.502,False
4888031000,경상남도 거창군 주상면,9,12.291666666666666,10.113848142147688,724.5,12,12,20.3,79.5,79.5,100.0,100.0,89.8,89.8,92.6,92.6,91.1,91.1,1.0,1.961,True
1213013800,전남광주통합특별시 여수시 주삼동,15,15.375,9.841112741961652,1165.0,12,12,22.733333333333334,0.0,0.0,90.3,90.3,92.5,92.5,100.0,100.0,93.1,93.1,0.0,0.858,False
4874036000,경상남도 창녕군 대지면,12,14.483333333333334,10.687021298866407,1300.0,12,12,22.933333333333334,0.0,0.0,91.9,91.9,92.1,92.1,100.0,100.0,93.2,93.2,0.0,1.388,False
4721039000,경상북도 영주시 부석면,5,12.108333333333334,10.16879883255489,1026.0,12,12,20.166666666666668,85.6,85.6,100.0,100.0,89.4,89.4,92.3,92.3,91.0,91.0,1.0,1.518,False
4157035000,경기도 김포시 월곶면,13,12.225,11.02081707909668,1125.5,12,12,20.883333333333333,45.6,45.6,100.0,100.0,89.8,89.8,91.5,91.5,91.6,91.6,1.0,0.592,False
4792039000,경상북도 봉화군 석포면,2,9.883333333333333,10.771665975084257,1296.0,12,12,18.466666666666665,100.0,100.0,74.1,74.1,87.3,87.3,60.8,60.8,89.4,89.4,2.0,0.632,False
4824033000,경상남도 사천시 용현면,16,14.825000000000001,9.911987691679201,1082.0,12,12,22.483333333333334,2.2,2.2,94.8,94.8,92.1,92.1,100.0,100.0,92.9,92.9,0.0,0.749,False
5275033000,전북특별자치도 임실군 신평면,4,12.65,10.862989710689476,1566.0,12,12,21.166666666666668,27.1,27.1,100.0,100.0,90.6,90.6,94.4,94.4,91.8,91.8,1.0,0.786,False
4725043000,경상북도 상주시 외서면,11,13.025,10.704555105187698,1220.5,12,12,21.53333333333333,20.7,20.7,100.0,100.0,90.7,90.7,100.0,100.0,92.1,92.1,1.0,0.472,False
