region_code,region_name,scenario,crop_code,api_ec_value,ec_value_on_band_scale,score,penalized,measured,method_warning
5123034000,강원특별자치도 삼척시 미로면,raw_1_to_5,03001,1.34,1.34,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5183025000,강원특별자치도 양양군 양양읍,raw_1_to_5,03001,0.165,0.165,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5113037000,강원특별자치도 원주시 흥업면,raw_1_to_5,03001,1.6,1.6,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5219042000,전북특별자치도 남원시 이백면,raw_1_to_5,03001,0.5463983164558607,0.5463983164558607,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1274031000,전남광주통합특별시 고흥군 풍양면,raw_1_to_5,03001,0.5924733082575053,0.5924733082575053,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4711000000,경상북도 포항시,raw_1_to_5,03001,0.638156054528285,0.638156054528285,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4782033000,경상북도 청도군 각북면,raw_1_to_5,03001,0.58,0.58,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4792032000,경상북도 봉화군 봉성면,raw_1_to_5,03001,0.2,0.2,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5011013400,제주특별자치도 제주시 오등동,raw_1_to_5,03001,0.36,0.36,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4180025000,경기도 연천군 연천읍,raw_1_to_5,03001,0.29,0.29,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5181025000,강원특별자치도 인제군 인제읍,raw_1_to_5,03001,0.5,0.5,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4165039000,경기도 포천시 영북면,raw_1_to_5,03001,0.75,0.75,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4817012200,경상남도 진주시 초전동,raw_1_to_5,03001,0.61,0.61,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4311000000,충청북도 청주시,raw_1_to_5,03001,1.4204439882907771,1.4204439882907771,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4182025000,경기도 가평군 가평읍,raw_1_to_5,03001,0.495,0.495,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4425031000,충청남도 계룡시 두마면,raw_1_to_5,03001,0.34,0.34,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4723025000,경상북도 영천시 금호읍,raw_1_to_5,03001,0.8,0.8,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1217039000,전남광주통합특별시 나주시 금천면,raw_1_to_5,03001,1.7290657979418291,1.7290657979418291,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5271033000,전북특별자치도 완주군 이서면,raw_1_to_5,03001,0.5,0.5,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5180000000,강원특별자치도 양구군,raw_1_to_5,03001,0.435,0.435,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5123031000,강원특별자치도 삼척시 근덕면,raw_1_to_5,03001,1.34,1.34,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4315025000,충청북도 제천시 봉양읍,raw_1_to_5,03001,1.833,1.833,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5277040000,전북특별자치도 순창군 구림면,raw_1_to_5,03001,0.279,0.279,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1281033000,전남광주통합특별시 무안군 청계면,raw_1_to_5,03001,1.878753555333757,1.878753555333757,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4711300000,경상북도 포항시 북구,raw_1_to_5,03001,0.617272168704372,0.617272168704372,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4782025000,경상북도 청도군 화양읍,raw_1_to_5,03001,0.58,0.58,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4792000000,경상북도 봉화군,raw_1_to_5,03001,0.2,0.2,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5011025600,제주특별자치도 제주시 구좌읍,raw_1_to_5,03001,0.36,0.36,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
