region_code,region_name,months_observed,annual_mean_temp_c,normal_baseline_c,temperature_deviation_c,risk_level,risk_low,risk_medium,risk_high,scored_in_suitability
4420025000,충청남도 아산시 염치읍,12,13.75,12.8,0.9499999999999993,low,True,False,False,False
5119000000,강원특별자치도 태백시,12,7.574999999999999,12.8,-5.225000000000001,low,True,False,False,False
4150010300,경기도 이천시 중리동,12,12.716666666666667,12.8,-0.08333333333333393,low,True,False,False,False
4822034000,경상남도 통영시 광도면,12,15.024999999999999,12.8,2.224999999999998,medium,False,True,False,False
4374525000,충청북도 증평군 증평읍,0,,12.8,,unknown,False,False,False,False
4163031000,경기도 양주시 은현면,12,12.141666666666666,12.8,-0.658333333333335,low,True,False,False,False
4374040000,충청북도 영동군 심천면,0,,12.8,,unknown,False,False,False,False
4725033000,경상북도 상주시 낙동면,12,13.525,12.8,0.7249999999999996,low,True,False,False,False
1217043000,전남광주통합특별시 나주시 봉황면,12,13.716666666666667,12.8,0.9166666666666661,low,True,False,False,False
4423032000,충청남도 논산시 광석면,12,13.533333333333333,12.8,0.7333333333333325,low,True,False,False,False
5176036000,강원특별자치도 평창군 진부면,12,9.608333333333333,12.8,-3.191666666666668,low,True,False,False,False
5117011200,강원특별자치도 동해시 북평동,12,15.174999999999999,12.8,2.3749999999999982,medium,False,True,False,False
5121011000,강원특별자치도 속초시 대포동,12,13.166666666666666,12.8,0.36666666666666536,low,True,False,False,False
5175025000,강원특별자치도 영월군 영월읍,12,12.666666666666666,12.8,-0.13333333333333464,low,True,False,False,False
5219025000,전북특별자치도 남원시 운봉읍,12,11.908333333333333,12.8,-0.8916666666666675,low,True,False,False,False
1278031000,전남광주통합특별시 강진군 군동면,12,15.083333333333334,12.8,2.283333333333333,medium,False,True,False,False
4713000000,경상북도 경주시,12,14.766666666666666,12.8,1.966666666666665,medium,False,True,False,False
4782000000,경상북도 청도군,12,13.991666666666667,12.8,1.1916666666666664,low,True,False,False,False
4775032000,경상북도 청송군 부남면,12,11.508333333333333,12.8,-1.2916666666666679,low,True,False,False,False
5011000000,제주특별자치도 제주시,12,16.675,12.8,3.875,high,False,False,True,False
4155031000,경기도 안성시 보개면,12,13.766666666666666,12.8,0.966666666666665,low,True,False,False,False
5176000000,강원특별자치도 평창군,12,9.333333333333334,12.8,-3.466666666666667,low,True,False,False,False
4150000000,경기도 이천시,12,12.841666666666667,12.8,0.041666666666666075,low,True,False,False,False
4831034000,경상남도 거제시 거제면,12,15.408333333333333,12.8,2.6083333333333325,high,False,False,True,False
4375025000,충청북도 진천군 진천읍,12,12.683333333333332,12.8,-0.11666666666666892,low,True,False,False,False
4183025000,경기도 양평군 양평읍,12,13.100000000000001,12.8,0.3000000000000007,low,True,False,False,False
4373025000,충청북도 옥천군 옥천읍,12,13.408333333333333,12.8,0.6083333333333325,low,True,False,False,False
4728010300,경상북도 문경시 흥덕동,1,,12.8,,unknown,False,False,False,False
1273025000,전남광주통합특별시 구례군 구례읍,12,14.658333333333333,12.8,1.8583333333333325,medium,False,True,False,False
5280034000,전북특별자치도 부안군 계화면,12,13.808333333333332,12.8,1.008333333333331,low,True,False,False,False
5172000000,강원특별자치도 홍천군,12,8.191666666666666,12.8,-4.608333333333334,low,True,False,False,False
5123034000,강원특별자치도 삼척시 미로면,12,14.383333333333333,12.8,1.5833333333333321,medium,False,True,False,False
5183025000,강원특별자치도 양양군 양양읍,12,14.033333333333333,12.8,1.2333333333333325,low,True,False,False,False
5113037000,강원특별자치도 원주시 흥업면,12,12.033333333333333,12.8,-0.7666666666666675,low,True,False,False,False
5219042000,전북특별자치도 남원시 이백면,12,13.758333333333333,12.8,0.9583333333333321,low,True,False,False,False
1274031000,전남광주통합특별시 고흥군 풍양면,12,14.666666666666666,12.8,1.8666666666666654,medium,False,True,False,False
4711000000,경상북도 포항시,12,14.266666666666666,12.8,1.466666666666665,medium,False,True,False,False
4782033000,경상북도 청도군 각북면,12,13.841666666666667,12.8,1.041666666666666,low,True,False,False,False
4792032000,경상북도 봉화군 봉성면,12,10.516666666666667,12.8,-2.283333333333333,low,True,False,False,False
5011013400,제주특별자치도 제주시 오등동,12,15.816666666666668,12.8,3.0166666666666675,high,False,False,True,False
4180025000,경기도 연천군 연천읍,0,,12.8,,unknown,False,False,False,False
5181025000,강원특별자치도 인제군 인제읍,12,11.708333333333334,12.8,-1.0916666666666668,low,True,False,False,False
4165039000,경기도 포천시 영북면,12,11.333333333333334,12.8,-1.4666666666666668,low,True,False,False,False
