region_code,region_name,indicator,actual_value,log_score_multiplier_2,national_grade_score,deviation_log_minus_grade,absolute_deviation
5011025600,제주특별자치도 제주시 구좌읍,ph,5.729,89.47220178297349,90,-0.5277982170265147,0.5277982170265147
4427000000,충청남도 당진시,ph,6.072,100.0,100,0.0,0.0
5177025000,강원특별자치도 정선군 정선읍,ph,5.895,93.0892460884448,90,3.0892460884447956,3.0892460884447956
4167011200,경기도 여주시 상거동,ph,5.834,91.85784251838618,90,1.8578425183861782,1.8578425183861782
4884031000,경상남도 남해군 이동면,ph,5.866,92.51624444397228,90,2.5162444439722833,2.5162444439722833
4313012200,충청북도 충주시 안림동,ph,5.908,93.33926028643705,90,3.339260286437053,3.339260286437053
4165034000,경기도 포천시 신북면,ph,5.864,92.47591936157474,90,2.4759193615747392,2.4759193615747392
4471031000,충청남도 금산군 금성면,ph,5.921,93.58522871328256,90,3.585228713282561,3.585228713282561
4773025000,경상북도 의성군 의성읍,ph,6.025,100.0,100,0.0,0.0
1217037000,전남광주통합특별시 나주시 문평면,ph,,,,,
5271000000,전북특별자치도 완주군,ph,5.556,84.47914286353681,75,9.479142863536808,9.479142863536808
4777037000,경상북도 영덕군 병곡면,ph,5.963,94.35374166925018,90,4.353741669250184,4.353741669250184
1272031000,전남광주통합특별시 곡성군 오곡면,ph,,,,,
1217034000,전남광주통합특별시 나주시 공산면,ph,,,,,
3171031000,울산광역시 울주군 서생면,ph,5.489,81.99808257292725,75,6.998082572927245,6.998082572927245
4782034000,경상북도 청도군 이서면,ph,5.518,83.12199235408067,75,8.121992354080675,8.121992354080675
4717032000,경상북도 안동시 북후면,ph,6.149,100.0,100,0.0,0.0
5011025000,제주특별자치도 제주시 한림읍,ph,5.603,86.00568372454164,75,11.00568372454164,11.00568372454164
4128000000,경기도 고양시,ph,,,,,
5177035000,강원특별자치도 정선군 임계면,ph,6.006,100.0,100,0.0,0.0
4146100000,경기도 용인시 처인구,ph,5.743,89.81276344410784,90,-0.18723655589215582,0.18723655589215582
4824012600,경상남도 사천시 송포동,ph,6.157,100.0,100,0.0,0.0
4377031000,충청북도 음성군 소이면,ph,5.956,94.22832424205117,90,4.228324242051173,4.228324242051173
5178025900,강원특별자치도 철원군 동송읍,ph,5.806,91.25737614702398,90,1.257376147023976,1.257376147023976
5274000000,전북특별자치도 장수군,ph,5.856,92.31354065205967,90,2.3135406520596717,2.3135406520596717
4729033000,경상북도 경산시 자인면,ph,5.82,91.56057421052266,90,1.5605742105226597,1.5605742105226597
1215035000,전남광주통합특별시 순천시 주암면,ph,,,,,
5213036000,전북특별자치도 군산시 개정면,ph,5.968,94.44269618659908,90,4.442696186599079,4.442696186599079
4793040000,경상북도 울진군 매화면,ph,5.513,82.93404826193866,75,7.934048261938656,7.934048261938656
4784000000,경상북도 성주군,ph,6.692,100.0,100,0.0,0.0
1281034000,전남광주통합특별시 무안군 현경면,ph,,,,,
3171026200,울산광역시 울주군 청량읍,ph,5.403,78.0729530027944,75,3.0729530027944065,3.0729530027944065
4827034000,경상남도 밀양시 산내면,ph,6.063,100.0,100,0.0,0.0
4776000000,경상북도 영양군,ph,6.01,100.0,100,0.0,0.0
5011025900,제주특별자치도 제주시 조천읍,ph,5.365,75.9528676094874,75,0.9528676094873987,0.9528676094873987
4111000000,경기도 수원시,ph,,,,,
5119010100,강원특별자치도 태백시 황지동,ph,6.404,100.0,100,0.0,0.0
