region_code,region_name,match_level,match_level_used,ec,ec_median,ec_n_samples,unit,source,fetched_at,is_imputed,quality_flag,schema_version
4776000000,경상북도 영양군,sigungu,sigungu,1.161,1.17,17,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5011025900,제주특별자치도 제주시 조천읍,eupmyeondong,sigungu_fallback,0.437,0.36,29,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4111000000,경기도 수원시,sigungu,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
5119010100,강원특별자치도 태백시 황지동,eupmyeondong,eupmyeondong,0.494,0.33,71,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4161010600,경기도 광주시 목현동,eupmyeondong,sigungu_fallback,1.715,0.6,46,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4825011500,경상남도 김해시 전하동,eupmyeondong,sigungu_fallback,1.597,1.226,29,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4313011400,충청북도 충주시 달천동,eupmyeondong,sigungu_fallback,1.773,1.325,6,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5111025000,강원특별자치도 춘천시 신북읍,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
5273025000,전북특별자치도 무주군 무주읍,eupmyeondong,sigungu_fallback,0.606,0.35,328,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4719025000,경상북도 구미시 선산읍,eupmyeondong,sigungu_fallback,1.106,0.49,203,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
1284025000,전남광주통합특별시 장성군 장성읍,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
5221036000,전북특별자치도 김제시 부량면,eupmyeondong,sigungu_fallback,0.967,0.5,397,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4888000000,경상남도 거창군,sigungu,sigungu,0.882,0.223,212,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
1287025300,전남광주통합특별시 신안군 압해읍,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4827036000,경상남도 밀양시 상남면,eupmyeondong,sigungu_fallback,3.275,0.8,39,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4776025000,경상북도 영양군 영양읍,eupmyeondong,sigungu_fallback,1.161,1.17,17,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5011025300,제주특별자치도 제주시 애월읍,eupmyeondong,sigungu_fallback,0.437,0.36,29,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4180036000,경기도 연천군 신서면,eupmyeondong,sigungu_fallback,1.141,0.29,198,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5177025900,강원특별자치도 정선군 신동읍,eupmyeondong,sigungu_fallback,0.639,0.381,154,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5173036000,강원특별자치도 횡성군 공근면,eupmyeondong,sigungu_fallback,1.078,0.5,218,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4882025000,경상남도 고성군 고성읍,eupmyeondong,sigungu_fallback,0.477,0.38,15,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5179025000,강원특별자치도 화천군 화천읍,eupmyeondong,sigungu_fallback,0.381,0.25,84,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5271036000,전북특별자치도 완주군 고산면,eupmyeondong,sigungu_fallback,1.462,0.5,450,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4719032000,경상북도 구미시 옥성면,eupmyeondong,sigungu_fallback,1.106,0.49,203,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
1217040000,전남광주통합특별시 나주시 산포면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4476031000,충청남도 부여군 규암면,eupmyeondong,sigungu_fallback,3.913,1.86,399,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4888031000,경상남도 거창군 주상면,eupmyeondong,sigungu_fallback,0.882,0.223,212,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
