bjd_nm,stdg_cd,acid_fachs1_area,acid_fachs2_area,acid_fachs3_area,acid_fachs4_area,acid_fachs5_area,acid_fachs6_area,acid_fruit1_area,acid_fruit2_area,acid_fruit3_area,acid_fruit4_area,acid_fruit5_area,acid_fruit6_area,acid_pfld1_area,acid_pfld2_area,acid_pfld3_area,acid_pfld4_area,acid_pfld5_area,acid_pfld6_area,acid_rfld1_area,acid_rfld2_area,acid_rfld3_area,acid_rfld4_area,acid_rfld5_area,acid_rfld6_area,om_fachs1_area,om_fachs2_area,om_fachs3_area,om_fachs4_area,om_fachs5_area,om_fachs6_area,om_fruit1_area,om_fruit2_area,om_fruit3_area,om_fruit4_area,om_fruit5_area,om_fruit6_area,om_pfld1_area,om_pfld2_area,om_pfld3_area,om_pfld4_area,om_pfld5_area,om_pfld6_area,om_rfld1_area,om_rfld2_area,om_rfld3_area,om_rfld4_area,om_rfld5_area,om_rfld6_area,posifertca_fachs1_area,posifertca_fachs2_area,posifertca_fachs3_area,posifertca_fachs4_area,posifertca_fachs5_area,posifertca_fachs6_area,posifertca_fruit1_area,posifertca_fruit2_area,posifertca_fruit3_area,posifertca_fruit4_area,posifertca_fruit5_area,posifertca_fruit6_area,posifertca_pfld1_area,posifertca_pfld2_area,posifertca_pfld3_area,posifertca_pfld4_area,posifertca_pfld5_area,posifertca_pfld6_area,posifertca_rfld1_area,posifertca_rfld2_area,posifertca_rfld3_area,posifertca_rfld4_area,posifertca_rfld5_area,posifertca_rfld6_area,posifertk_fachs1_area,posifertk_fachs2_area,posifertk_fachs3_area,posifertk_fachs4_area,posifertk_fachs5_area,posifertk_fachs6_area,posifertk_fruit1_area,posifertk_fruit2_area,posifertk_fruit3_area,posifertk_fruit4_area,posifertk_fruit5_area,posifertk_fruit6_area,posifertk_pfld1_area,posifertk_pfld2_area,posifertk_pfld3_area,posifertk_pfld4_area,posifertk_pfld5_area,posifertk_pfld6_area,posifertk_rfld1_area,posifertk_rfld2_area,posifertk_rfld3_area,posifertk_rfld4_area,posifertk_rfld5_area,posifertk_rfld6_area,posifertmg_fachs1_area,posifertmg_fachs2_area,posifertmg_fachs3_area,posifertmg_fachs4_area,posifertmg_fachs5_area,posifertmg_fachs6_area,posifertmg_fruit1_area,posifertmg_fruit2_area,posifertmg_fruit3_area,posifertmg_fruit4_area,posifertmg_fruit5_area,posifertmg_fruit6_area,posifertmg_pfld1_area,posifertmg_pfld2_area,posifertmg_pfld3_area,posifertmg_pfld4_area,posifertmg_pfld5_area,posifertmg_pfld6_area,posifertmg_rfld1_area,posifertmg_rfld2_area,posifertmg_rfld3_area,posifertmg_rfld4_area,posifertmg_rfld5_area,posifertmg_rfld6_area,vldpha_fachs1_area,vldpha_fachs2_area,vldpha_fachs3_area,vldpha_fachs4_area,vldpha_fachs5_area,vldpha_fachs6_area,vldpha_fruit1_area,vldpha_fruit2_area,vldpha_fruit3_area,vldpha_fruit4_area,vldpha_fruit5_area,vldpha_fruit6_area,vldpha_pfld1_area,vldpha_pfld2_area,vldpha_pfld3_area,vldpha_pfld4_area,vldpha_pfld5_area,vldpha_pfld6_area,vldpha_rfld1_area,vldpha_rfld2_area,vldpha_rfld3_area,vldpha_rfld4_area,vldpha_rfld5_area,vldpha_rfld6_area,vldsia_rfld1_area,vldsia_rfld2_area,vldsia_rfld3_area,vldsia_rfld4_area,vldsia_rfld5_area,vldsia_rfld6_area
서울특별시 관악구,1162000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,-,-,-,-,-,-,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,-,-,-,-,-,-,0,1,0,0,0,0,-,-,-,-,-,-,1,0,1,1,1,0,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,-,-,1,0,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 서초구,1165000000,0,1,1,2,2,4,0,0,0,0,1,4,4,5,6,9,12,41,-,-,-,-,-,-,1,1,2,2,2,2,0,2,2,1,0,0,8,21,17,13,11,11,-,-,-,-,-,-,1,1,1,1,1,5,1,0,1,1,1,1,3,5,4,8,7,52,-,-,-,-,-,-,0,0,0,1,1,9,0,0,0,0,0,5,1,2,6,8,7,56,0,0,0,0,0,1,0,1,2,2,1,5,0,1,0,1,1,2,4,10,12,21,13,19,0,1,0,0,0,0,1,1,1,0,1,7,1,1,1,0,0,2,9,4,3,4,3,57,1,0,0,0,0,0,0,1,0,0,0,0
서울특별시 강남구,1168000000,1,7,6,15,29,30,0,0,0,0,0,2,1,1,1,3,3,10,-,-,-,-,-,-,2,18,14,16,25,17,1,1,0,0,0,0,4,3,5,4,2,2,-,-,-,-,-,-,8,8,14,9,6,47,0,0,0,0,1,2,1,1,1,2,2,13,-,-,-,-,-,-,0,2,2,4,3,80,0,0,0,0,0,2,0,1,1,2,2,13,-,-,-,-,-,-,0,2,4,7,15,63,0,0,1,1,0,1,0,3,6,3,3,4,-,-,-,-,-,-,4,5,2,3,5,73,1,1,0,0,0,1,3,2,1,0,1,13,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 송파구,1171000000,0,1,3,4,6,3,0,0,0,0,0,2,3,2,6,10,17,18,-,-,-,-,-,-,0,0,1,4,11,2,1,1,1,0,0,0,5,8,13,12,12,12,-,-,-,-,-,-,0,0,1,0,1,16,0,0,0,0,0,1,6,3,5,7,6,33,-,-,-,-,-,-,0,0,0,0,0,18,0,0,0,0,0,2,5,4,5,5,3,39,-,-,-,-,-,-,1,3,0,0,1,14,0,1,1,0,0,1,7,8,8,10,7,21,-,-,-,-,-,-,1,0,0,0,0,18,1,0,1,0,0,0,3,3,2,3,1,49,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 강동구,1174000000,1,3,7,19,31,38,0,0,0,0,1,2,2,10,21,32,65,83,-,-,-,-,-,-,3,8,12,17,25,39,0,1,1,0,0,0,16,30,33,34,52,58,-,-,-,-,-,-,1,1,2,3,8,90,0,0,0,1,0,2,5,9,8,12,16,173,-,-,-,-,-,-,0,1,3,5,3,92,0,0,0,0,0,2,3,12,15,13,14,165,-,-,-,-,-,-,0,1,7,12,16,67,0,0,0,0,1,2,10,20,30,36,44,82,-,-,-,-,-,-,1,1,1,1,2,99,0,1,0,0,1,1,11,6,4,3,5,194,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 서구,2614000000,-,-,-,-,-,-,-,-,-,-,-,-,7,2,3,2,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,12,6,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,2,5,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,1,6,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,2,1,3,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,2,18,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 동구,2617000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 영도구,2620000000,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 부산진구,2623000000,-,-,-,-,-,-,0,0,0,0,0,1,0,0,1,0,0,12,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,9,3,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,3,0,0,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,2,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,3,5,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 동래구,2626000000,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 남구,2629000000,-,-,-,-,-,-,0,0,0,0,0,1,4,2,1,4,13,70,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,62,24,6,2,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2,20,29,15,19,3,9,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,0,42,21,23,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,0,7,21,16,15,34,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,77,7,2,0,1,8,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 북구,2632000000,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,1,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0,1,1,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 해운대구,2635000000,0,0,0,0,0,1,0,0,0,0,0,2,0,0,14,19,4,27,-,-,-,-,-,-,1,0,0,0,0,0,2,0,0,0,0,0,56,2,0,3,1,2,-,-,-,-,-,-,0,0,0,0,1,0,0,0,0,1,0,1,17,1,3,6,2,35,-,-,-,-,-,-,0,0,0,0,0,1,1,1,0,0,0,0,10,21,17,1,0,14,-,-,-,-,-,-,0,1,0,0,0,0,0,0,1,0,0,1,0,7,5,19,14,19,-,-,-,-,-,-,1,0,0,0,0,0,1,1,0,0,0,0,58,0,2,1,0,3,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 사하구,2638000000,0,0,0,2,1,0,-,-,-,-,-,-,6,6,5,7,4,5,-,-,-,-,-,-,0,1,2,0,0,0,-,-,-,-,-,-,2,6,15,7,2,2,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-,7,6,4,9,3,4,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-,1,1,3,3,2,24,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-,0,4,15,5,4,6,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-,5,1,2,2,1,23,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 금정구,2641000000,-,-,-,-,-,-,-,-,-,-,-,-,2,6,6,5,12,42,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,7,18,22,19,6,2,0,1,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,4,4,8,12,18,30,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,6,8,8,9,8,36,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,4,10,19,13,14,15,0,0,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,24,18,3,4,2,24,0,1,1,0,0,0,-,-,-,-,-,-
부산광역시 강서구,2644000000,14,24,49,112,184,702,3,1,2,1,8,16,19,18,52,95,186,804,95,223,588,557,331,253,47,248,371,308,111,28,4,17,11,1,1,0,56,450,422,159,69,43,245,896,728,309,50,83,6,10,19,40,61,976,2,1,4,11,1,15,115,117,112,127,198,530,96,143,382,626,464,601,30,53,70,64,60,835,5,9,5,1,1,12,25,89,115,199,164,606,115,351,524,435,348,539,3,17,38,51,78,926,0,12,3,10,4,3,93,213,264,192,165,273,116,145,160,143,176,1572,22,16,22,25,39,988,6,6,3,4,1,13,26,31,39,35,42,1025,511,690,494,237,136,243,530,830,482,244,92,130
부산광역시 연제구,2647000000,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 수영구,2650000000,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 사상구,2653000000,0,0,0,1,0,1,-,-,-,-,-,-,21,0,0,1,29,58,-,-,-,-,-,-,0,2,0,0,0,0,-,-,-,-,-,-,2,72,34,0,0,1,-,-,-,-,-,-,0,0,0,0,0,3,-,-,-,-,-,-,1,0,0,0,23,85,-,-,-,-,-,-,0,0,0,0,2,0,-,-,-,-,-,-,41,27,2,14,23,1,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-,0,0,41,3,16,49,-,-,-,-,-,-,0,0,0,1,1,1,-,-,-,-,-,-,42,2,34,24,5,2,-,-,-,-,-,-,-,-,-,-,-,-
부산광역시 기장군,2671000000,0,0,1,3,2,2,0,2,11,6,6,8,108,139,171,156,188,163,31,121,168,250,150,49,0,3,3,3,2,0,5,5,9,5,3,6,35,143,380,260,103,88,19,146,372,243,79,17,0,0,0,0,0,9,7,0,1,5,4,16,57,76,129,113,126,508,28,110,195,220,129,194,0,1,1,1,1,8,1,11,1,0,1,20,99,16,23,21,34,815,71,275,252,137,58,83,0,0,0,1,1,8,8,2,3,7,4,11,79,187,207,158,95,282,44,199,256,169,94,113,0,0,1,1,2,7,15,2,1,1,3,12,50,31,52,55,53,768,326,273,137,64,23,52,139,354,220,86,26,45
대구광역시 중구,2711000000,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
대구광역시 동구,2714000000,8,38,25,34,63,132,176,144,110,79,84,95,139,549,101,141,126,125,28,117,243,195,152,75,18,68,100,67,38,18,42,224,252,137,53,28,474,306,301,106,34,21,8,154,464,232,48,12,11,45,33,32,34,154,138,139,108,88,72,192,522,146,127,117,101,231,20,84,191,235,156,232,10,28,30,29,24,189,5,28,55,76,86,488,30,83,501,102,94,433,56,224,250,186,107,95,12,63,73,51,44,67,106,204,178,112,66,72,523,233,211,113,94,70,34,320,238,156,95,74,4,5,6,6,9,278,10,15,20,19,16,657,35,446,44,46,43,628,20,123,197,154,123,301,142,477,185,84,11,14
대구광역시 서구,2717000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
