crop_code,crop_name,std_nitrogen,std_phosphate,std_potash
09001,사과(비옥지-1~4년),2.0,1.0,1.0
09011,배(비옥지-1~4년),2.0,1.0,1.0
04009,오이(노지재배),24.0,16.4,23.8
03001,감자(준고냉지및고냉지),13.7,3.3,11.4
07001,상추(노지재배),20.0,5.9,12.8
