fstd_Crop_Code,fstd_Crop_Nm,pre_Fert_N,pre_Fert_P,pre_Fert_K,post_Fert_N,post_Fert_P,post_Fert_K
09001,사과(비옥지-1~4년),1.2,1,0.6,0.8,0,0.4
09011,배(비옥지-1~4년),1.4,1,0.5,0.6,0,0.5
04009,오이(노지재배),11.2,16.4,15.9,12.8,0,7.9
03001,감자(준고냉지및고냉지),13.7,3.3,11.4,0,0,0
07001,상추(노지재배),10,5.9,6.4,10,0,6.4
